application_id,location_id,region,hiring_manager_id,role,source,commute_band_km,availability_match,applied_at,screened_at,interview_scheduled_at,interview_completed_at,offer_at,onboarding_started_at,scheduled_first_shift_at,first_shift_at,stage_reached,exit_reason,separation_at,tenure_days,separation_reason
APP-001097,LOC-32,South,MGR-032,Shift Supervisor,jobboard_b,6-10,full,2025-09-01,,,,,,,,applied,withdrew,,,
APP-000856,LOC-20,Northeast,MGR-020,Sales Associate,jobboard_b,11-20,partial,2025-09-01,,,,,,,,applied,withdrew,,,
APP-001103,LOC-10,Midwest,MGR-010,Seasonal Associate,jobboard_a,6-10,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000133,LOC-35,West,MGR-035,Sales Associate,social,0-5,partial,2025-09-01,2025-09-03,,,,,,,screened,unresponsive,,,
APP-001006,LOC-22,South,MGR-022,Sales Associate,referral,0-5,partial,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-001065,LOC-04,Midwest,MGR-004,Shift Supervisor,social,0-5,limited,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000684,LOC-41,West,MGR-041,Stocker,career_site,0-5,full,2025-09-01,2025-09-03,2025-09-06,2025-09-07,2025-09-09,2025-09-10,2025-09-19,2025-09-19,started,,,,
APP-000312,LOC-32,South,MGR-032,Stocker,jobboard_c,21-40,limited,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000898,LOC-14,Northeast,MGR-014,Sales Associate,jobboard_b,0-5,partial,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000351,LOC-26,South,MGR-026,Stocker,jobboard_b,21-40,partial,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000637,LOC-12,Northeast,MGR-012,Sales Associate,social,6-10,partial,2025-09-01,2025-09-02,,,,,,,screened,withdrew,,,
APP-000231,LOC-35,West,MGR-035,Sales Associate,career_site,0-5,limited,2025-09-01,2025-09-04,2025-09-05,2025-09-09,2025-09-09,2025-09-11,2025-09-18,2025-09-18,started,,,,
APP-000753,LOC-17,Northeast,MGR-017,Cashier,referral,6-10,full,2025-09-01,2025-09-01,2025-09-04,2025-09-05,2025-09-05,2025-09-07,2025-09-12,,onboarding_started,no_show_first_shift,,,
APP-000216,LOC-42,West,MGR-042,Seasonal Associate,jobboard_c,21-40,full,2025-09-01,2025-09-03,2025-09-05,2025-09-06,2025-09-07,,,,offer_extended,offer_declined,,,
APP-000430,LOC-42,West,MGR-042,Stocker,career_site,40+,full,2025-09-01,2025-09-01,2025-09-04,2025-09-09,,,,,interview_completed,candidate_declined,,,
APP-000041,LOC-33,South,MGR-033,Seasonal Associate,jobboard_b,0-5,limited,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000957,LOC-01,Midwest,MGR-001,Sales Associate,jobboard_c,0-5,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-001012,LOC-14,Northeast,MGR-014,Cashier,social,0-5,full,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000882,LOC-09,Midwest,MGR-009,Seasonal Associate,jobboard_b,0-5,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000205,LOC-23,South,MGR-023,Sales Associate,jobboard_a,6-10,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000611,LOC-01,Midwest,MGR-001,Seasonal Associate,jobboard_a,0-5,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000825,LOC-41,West,MGR-041,Sales Associate,jobboard_a,11-20,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000497,LOC-33,South,MGR-033,Sales Associate,jobboard_c,6-10,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000677,LOC-15,Northeast,MGR-015,Sales Associate,career_site,0-5,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000710,LOC-41,West,MGR-041,Sales Associate,jobboard_c,11-20,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000012,LOC-01,Midwest,MGR-001,Seasonal Associate,referral,21-40,full,2025-09-01,2025-09-03,2025-09-05,2025-09-10,2025-09-10,2025-09-11,2025-09-18,2025-09-18,started,,2025-10-06,18,schedule_conflict
APP-000182,LOC-01,Midwest,MGR-001,Cashier,jobboard_b,6-10,full,2025-09-01,2025-09-02,,,,,,,screened,unresponsive,,,
APP-000342,LOC-22,South,MGR-022,Sales Associate,jobboard_c,0-5,full,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000381,LOC-28,South,MGR-028,Shift Supervisor,jobboard_b,0-5,partial,2025-09-01,2025-09-03,2025-09-06,2025-09-10,,,,,interview_completed,not_qualified,,,
APP-000255,LOC-02,Midwest,MGR-002,Stocker,jobboard_b,11-20,limited,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000490,LOC-04,Midwest,MGR-004,Shift Supervisor,jobboard_a,6-10,full,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000505,LOC-15,Northeast,MGR-015,Seasonal Associate,jobboard_c,6-10,partial,2025-09-01,2025-09-02,2025-09-05,2025-09-11,2025-09-13,2025-09-14,2025-09-23,,onboarding_started,no_show_first_shift,,,
APP-001168,LOC-20,Northeast,MGR-020,Sales Associate,jobboard_b,11-20,limited,2025-09-01,2025-09-01,2025-09-01,2025-09-05,2025-09-05,2025-09-06,2025-09-12,,onboarding_started,no_show_first_shift,,,
APP-001135,LOC-35,West,MGR-035,Seasonal Associate,referral,11-20,full,2025-09-01,2025-09-04,2025-09-04,2025-09-07,2025-09-09,2025-09-11,2025-09-17,2025-09-17,started,,,,
APP-001117,LOC-08,Midwest,MGR-008,Sales Associate,jobboard_a,0-5,limited,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000187,LOC-26,South,MGR-026,Sales Associate,jobboard_b,6-10,partial,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000143,LOC-36,West,MGR-036,Seasonal Associate,jobboard_a,0-5,partial,2025-09-02,2025-09-02,2025-09-09,2025-09-11,2025-09-11,2025-09-13,2025-09-18,2025-09-18,started,,,,
APP-001073,LOC-41,West,MGR-041,Cashier,career_site,21-40,partial,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000708,LOC-02,Midwest,MGR-002,Seasonal Associate,referral,0-5,full,2025-09-02,2025-09-05,2025-09-08,,,,,,interview_scheduled,interview_no_show,,,
APP-000363,LOC-02,Midwest,MGR-002,Cashier,career_site,11-20,limited,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000698,LOC-13,Northeast,MGR-013,Shift Supervisor,jobboard_b,11-20,full,2025-09-02,2025-09-05,,,,,,,screened,withdrew,,,
APP-000319,LOC-30,South,MGR-030,Shift Supervisor,career_site,21-40,limited,2025-09-02,,,,,,,,applied,failed_knockout,,,
APP-000162,LOC-06,Midwest,MGR-006,Cashier,jobboard_b,6-10,partial,2025-09-02,2025-09-02,,,,,,,screened,withdrew,,,
APP-001037,LOC-12,Northeast,MGR-012,Seasonal Associate,social,0-5,limited,2025-09-02,2025-09-03,,,,,,,screened,withdrew,,,
APP-000125,LOC-36,West,MGR-036,Sales Associate,jobboard_a,11-20,full,2025-09-02,2025-09-04,,,,,,,screened,no_interview_slot,,,
APP-000163,LOC-14,Northeast,MGR-014,Seasonal Associate,referral,11-20,partial,2025-09-02,2025-09-02,,,,,,,screened,no_interview_slot,,,
APP-000503,LOC-27,South,MGR-027,Seasonal Associate,social,6-10,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-000261,LOC-18,Northeast,MGR-018,Sales Associate,jobboard_c,21-40,full,2025-09-02,2025-09-05,2025-09-08,,,,,,interview_scheduled,interview_no_show,,,
APP-000420,LOC-04,Midwest,MGR-004,Seasonal Associate,career_site,0-5,full,2025-09-02,2025-09-03,2025-09-04,2025-09-08,,,,,interview_completed,not_qualified,,,
APP-000835,LOC-24,South,MGR-024,Seasonal Associate,jobboard_b,11-20,full,2025-09-02,2025-09-05,2025-09-05,2025-09-08,2025-09-09,2025-09-09,2025-09-16,,onboarding_started,no_show_first_shift,,,
APP-000837,LOC-34,West,MGR-034,Sales Associate,career_site,40+,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-000990,LOC-02,Midwest,MGR-002,Seasonal Associate,jobboard_a,6-10,partial,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000272,LOC-39,West,MGR-039,Sales Associate,jobboard_b,11-20,partial,2025-09-02,,,,,,,,applied,failed_knockout,,,
APP-000114,LOC-14,Northeast,MGR-014,Stocker,jobboard_a,6-10,full,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000989,LOC-26,South,MGR-026,Sales Associate,jobboard_a,11-20,limited,2025-09-02,2025-09-04,,,,,,,screened,withdrew,,,
APP-000482,LOC-22,South,MGR-022,Stocker,jobboard_a,0-5,limited,2025-09-02,2025-09-02,2025-09-04,2025-09-05,,,,,interview_completed,not_qualified,,,
APP-000802,LOC-36,West,MGR-036,Stocker,jobboard_a,0-5,full,2025-09-02,2025-09-04,,,,,,,screened,no_interview_slot,,,
APP-000376,LOC-07,Midwest,MGR-007,Shift Supervisor,jobboard_b,11-20,limited,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000540,LOC-42,West,MGR-042,Seasonal Associate,career_site,0-5,limited,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-001010,LOC-11,Midwest,MGR-011,Sales Associate,career_site,11-20,limited,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000230,LOC-22,South,MGR-022,Cashier,referral,6-10,full,2025-09-02,2025-09-02,2025-09-02,2025-09-06,2025-09-09,2025-09-10,2025-09-14,2025-09-14,started,,,,
APP-000786,LOC-06,Midwest,MGR-006,Sales Associate,jobboard_b,6-10,full,2025-09-02,2025-09-02,2025-09-03,2025-09-09,2025-09-09,2025-09-10,2025-09-19,2025-09-19,started,,,,
APP-000040,LOC-33,South,MGR-033,Cashier,career_site,11-20,partial,2025-09-02,2025-09-05,,,,,,,screened,withdrew,,,
APP-000809,LOC-02,Midwest,MGR-002,Seasonal Associate,jobboard_a,6-10,partial,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000161,LOC-05,Midwest,MGR-005,Sales Associate,referral,0-5,full,2025-09-02,2025-09-04,2025-09-07,2025-09-10,,,,,interview_completed,not_qualified,,,
APP-000419,LOC-40,West,MGR-040,Cashier,career_site,0-5,limited,2025-09-03,2025-09-04,,,,,,,screened,no_interview_slot,,,
APP-000635,LOC-20,Northeast,MGR-020,Stocker,career_site,6-10,full,2025-09-03,2025-09-03,2025-09-03,2025-09-04,2025-09-07,2025-09-09,2025-09-17,2025-09-17,started,,,,
APP-000972,LOC-20,Northeast,MGR-020,Shift Supervisor,career_site,21-40,full,2025-09-03,2025-09-04,2025-09-04,2025-09-05,2025-09-08,,,,offer_extended,offer_declined,,,
APP-000144,LOC-24,South,MGR-024,Cashier,social,6-10,partial,2025-09-03,2025-09-04,2025-09-07,2025-09-12,,,,,interview_completed,not_qualified,,,
APP-000979,LOC-22,South,MGR-022,Cashier,referral,21-40,limited,2025-09-03,2025-09-05,,,,,,,screened,withdrew,,,
APP-001025,LOC-32,South,MGR-032,Shift Supervisor,career_site,6-10,limited,2025-09-03,2025-09-04,2025-09-05,2025-09-07,,,,,interview_completed,not_qualified,,,
APP-000980,LOC-30,South,MGR-030,Sales Associate,social,6-10,limited,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-000139,LOC-15,Northeast,MGR-015,Seasonal Associate,referral,6-10,partial,2025-09-03,2025-09-06,,,,,,,screened,unresponsive,,,
APP-000119,LOC-02,Midwest,MGR-002,Sales Associate,social,6-10,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000674,LOC-18,Northeast,MGR-018,Stocker,social,11-20,limited,2025-09-03,2025-09-05,2025-09-06,,,,,,interview_scheduled,interview_no_show,,,
APP-001033,LOC-31,South,MGR-031,Cashier,jobboard_c,0-5,partial,2025-09-03,,,,,,,,applied,availability_mismatch,,,
APP-001056,LOC-40,West,MGR-040,Sales Associate,career_site,0-5,limited,2025-09-03,2025-09-03,,,,,,,screened,no_interview_slot,,,
APP-000838,LOC-22,South,MGR-022,Stocker,jobboard_a,11-20,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000939,LOC-19,Northeast,MGR-019,Shift Supervisor,jobboard_a,21-40,limited,2025-09-03,2025-09-03,2025-09-07,2025-09-13,,,,,interview_completed,candidate_declined,,,
APP-000879,LOC-07,Midwest,MGR-007,Sales Associate,social,6-10,full,2025-09-03,,,,,,,,applied,incomplete_application,,,
APP-000044,LOC-31,South,MGR-031,Stocker,jobboard_b,0-5,full,2025-09-03,2025-09-06,,,,,,,screened,no_interview_slot,,,
APP-000945,LOC-11,Midwest,MGR-011,Sales Associate,jobboard_a,0-5,full,2025-09-03,,,,,,,,applied,failed_knockout,,,
APP-000556,LOC-30,South,MGR-030,Stocker,social,6-10,full,2025-09-03,2025-09-03,2025-09-03,2025-09-09,2025-09-11,2025-09-12,2025-09-14,2025-09-14,started,,,,
APP-000292,LOC-21,Northeast,MGR-021,Cashier,jobboard_a,6-10,partial,2025-09-03,,,,,,,,applied,failed_knockout,,,
