application_id,location_id,region,hiring_manager_id,role,source,commute_band_km,availability_match,applied_at,docs_submitted_at,background_clear_at,onboarding_started_at,scheduled_first_job_at,first_job_at,stage_reached,exit_reason,separation_at,tenure_days,separation_reason
APP-000183,LOC-38,West,MGR-038,Cargo Van Driver,worker_referral,11-20,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-001451,LOC-13,Northeast,MGR-013,Car Courier,app_store_organic,11-20,partial,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-000524,LOC-39,West,MGR-039,Cargo Van Driver,jobboard_a,6-10,partial,2025-09-01,,,,,,signed_up,abandoned_signup,,,
APP-001457,LOC-19,Northeast,MGR-019,Car Courier,affiliate,11-20,partial,2025-09-01,2025-09-03,,,,,docs_submitted,background_check_queue,,,
APP-001462,LOC-07,Midwest,MGR-007,Shopper,affiliate,0-5,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-000507,LOC-28,South,MGR-028,Bike Courier,app_store_organic,11-20,partial,2025-09-01,2025-09-01,,,,,docs_submitted,abandoned_signup,,,
APP-000493,LOC-24,South,MGR-024,Shopper,jobboard_a,0-5,full,2025-09-01,2025-09-04,2025-09-06,2025-09-08,2025-09-15,2025-09-15,activated,,,,
APP-001477,LOC-31,South,MGR-031,Shopper,search_ads,40+,partial,2025-09-01,2025-09-03,,,,,docs_submitted,background_check_queue,,,
APP-002541,LOC-26,South,MGR-026,Scooter Courier,paid_social,21-40,limited,2025-09-01,2025-09-02,2025-09-08,2025-09-12,2025-09-17,2025-09-17,activated,,,,
APP-001513,LOC-39,West,MGR-039,Bike Courier,search_ads,0-5,partial,2025-09-01,2025-09-03,,,,,docs_submitted,abandoned_signup,,,
APP-001516,LOC-06,Midwest,MGR-006,Cargo Van Driver,search_ads,6-10,limited,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001555,LOC-17,Northeast,MGR-017,Car Courier,affiliate,0-5,partial,2025-09-01,2025-09-01,2025-09-03,2025-09-07,2025-09-10,2025-09-10,activated,,,,
APP-001568,LOC-32,South,MGR-032,Car Courier,jobboard_a,6-10,limited,2025-09-01,2025-09-04,,,,,docs_submitted,no_onboarding_slot,,,
APP-000068,LOC-18,Northeast,MGR-018,Cargo Van Driver,paid_social,11-20,limited,2025-09-01,2025-09-02,2025-09-10,,,,background_clear,failed_vehicle_check,,,
APP-001587,LOC-19,Northeast,MGR-019,Bike Courier,jobboard_a,6-10,partial,2025-09-01,2025-09-04,,,,,docs_submitted,background_check_queue,,,
APP-002503,LOC-32,South,MGR-032,Shopper,app_store_organic,21-40,full,2025-09-01,2025-09-04,2025-09-11,2025-09-14,2025-09-23,2025-09-23,activated,,2025-10-13,20,schedule_conflict
APP-000483,LOC-36,West,MGR-036,Scooter Courier,paid_social,11-20,limited,2025-09-01,2025-09-01,,,,,docs_submitted,background_check_queue,,,
APP-000480,LOC-16,Northeast,MGR-016,Scooter Courier,worker_referral,11-20,partial,2025-09-01,2025-09-02,2025-09-07,2025-09-09,2025-09-18,2025-09-18,activated,,2025-10-14,26,voluntary_quit
APP-002500,LOC-26,South,MGR-026,Car Courier,app_store_organic,6-10,partial,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-002495,LOC-32,South,MGR-032,Bike Courier,app_store_organic,6-10,limited,2025-09-01,2025-09-04,2025-09-09,2025-09-09,2025-09-11,2025-09-11,activated,,2025-10-28,47,involuntary
APP-000118,LOC-19,Northeast,MGR-019,Scooter Courier,paid_social,40+,full,2025-09-01,2025-09-04,,,,,docs_submitted,abandoned_signup,,,
APP-002471,LOC-13,Northeast,MGR-013,Bike Courier,worker_referral,40+,full,2025-09-01,2025-09-03,,,,,docs_submitted,no_onboarding_slot,,,
APP-001434,LOC-01,Midwest,MGR-001,Car Courier,worker_referral,11-20,full,2025-09-01,,,,,,signed_up,abandoned_signup,,,
APP-000541,LOC-11,Midwest,MGR-011,Bike Courier,paid_social,40+,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001393,LOC-17,Northeast,MGR-017,Cargo Van Driver,paid_social,11-20,full,2025-09-01,2025-09-01,2025-09-04,2025-09-07,2025-09-10,,onboarding_started,no_show_first_job,,,
APP-002573,LOC-09,Midwest,MGR-009,Shopper,paid_social,0-5,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-002687,LOC-35,West,MGR-035,Cargo Van Driver,paid_social,11-20,limited,2025-09-01,,,,,,signed_up,failed_knockout,,,
APP-001045,LOC-13,Northeast,MGR-013,Cargo Van Driver,app_store_organic,21-40,full,2025-09-01,2025-09-04,2025-09-11,,,,background_clear,failed_vehicle_check,,,
APP-001058,LOC-32,South,MGR-032,Shopper,paid_social,6-10,limited,2025-09-01,2025-09-02,2025-09-04,2025-09-09,2025-09-11,2025-09-11,activated,,2025-09-15,4,attendance
APP-000948,LOC-26,South,MGR-026,Bike Courier,jobboard_a,11-20,full,2025-09-01,2025-09-04,2025-09-11,,,,background_clear,failed_vehicle_check,,,
APP-001084,LOC-39,West,MGR-039,Cargo Van Driver,jobboard_a,0-5,full,2025-09-01,,,,,,signed_up,incomplete_application,,,
APP-000916,LOC-03,Midwest,MGR-003,Scooter Courier,app_store_organic,6-10,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-000870,LOC-39,West,MGR-039,Shopper,paid_social,6-10,partial,2025-09-01,2025-09-03,,,,,docs_submitted,abandoned_signup,,,
APP-000813,LOC-06,Midwest,MGR-006,Scooter Courier,search_ads,6-10,full,2025-09-01,2025-09-02,,,,,docs_submitted,unresponsive,,,
APP-002660,LOC-30,South,MGR-030,Car Courier,paid_social,0-5,full,2025-09-01,2025-09-01,2025-09-08,2025-09-09,2025-09-15,2025-09-15,activated,,,,
APP-000106,LOC-16,Northeast,MGR-016,Car Courier,app_store_organic,0-5,partial,2025-09-01,2025-09-02,2025-09-09,2025-09-10,2025-09-23,2025-09-23,activated,,,,
APP-001686,LOC-25,South,MGR-025,Scooter Courier,affiliate,6-10,full,2025-09-01,2025-09-04,2025-09-12,2025-09-16,2025-09-26,,onboarding_started,no_show_first_job,,,
APP-002658,LOC-40,West,MGR-040,Car Courier,app_store_organic,6-10,limited,2025-09-01,2025-09-04,2025-09-16,2025-09-19,2025-09-28,2025-09-28,activated,,,,
APP-000796,LOC-09,Midwest,MGR-009,Cargo Van Driver,search_ads,11-20,full,2025-09-01,2025-09-01,2025-09-07,,,,background_clear,failed_vehicle_check,,,
APP-002749,LOC-19,Northeast,MGR-019,Car Courier,paid_social,6-10,partial,2025-09-01,2025-09-03,,,,,docs_submitted,background_check_queue,,,
APP-001249,LOC-06,Midwest,MGR-006,Cargo Van Driver,paid_social,21-40,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-000791,LOC-30,South,MGR-030,Car Courier,paid_social,21-40,partial,2025-09-01,,,,,,signed_up,docs_rejected,,,
APP-001289,LOC-12,Northeast,MGR-012,Cargo Van Driver,worker_referral,11-20,limited,2025-09-01,2025-09-04,2025-09-08,2025-09-10,2025-09-14,,onboarding_started,no_show_first_job,,,
