month,source,applications,spend_usd
2025-09,affiliate,406,1594.02
2025-09,app_store_organic,494,49.33
2025-09,jobboard_a,395,2079.71
2025-09,paid_social,992,2675.78
2025-09,search_ads,405,2029.96
2025-09,worker_referral,285,0.0
2025-10,affiliate,472,1856.49
2025-10,app_store_organic,503,47.89
2025-10,jobboard_a,407,2158.78
2025-10,paid_social,1037,2683.08
2025-10,search_ads,515,2601.82
2025-10,worker_referral,361,0.0
2025-11,affiliate,859,4251.79
2025-11,app_store_organic,935,114.36
2025-11,jobboard_a,728,4963.43
2025-11,paid_social,2081,6894.68
2025-11,search_ads,888,5551.18
2025-11,worker_referral,630,0.0
2025-12,affiliate,742,3920.06
2025-12,app_store_organic,908,120.49
2025-12,jobboard_a,651,4025.87
2025-12,paid_social,1783,5612.61
2025-12,search_ads,774,4831.23
2025-12,worker_referral,490,0.0
2026-01,affiliate,845,4412.2
2026-01,app_store_organic,899,116.53
2026-01,jobboard_a,687,4507.25
2026-01,paid_social,2039,6442.49
2026-01,search_ads,824,4782.75
2026-01,worker_referral,614,0.0
2026-02,affiliate,436,1619.93
2026-02,app_store_organic,526,54.82
2026-02,jobboard_a,366,1977.21
2026-02,paid_social,1128,2820.55
2026-02,search_ads,441,2153.5
2026-02,worker_referral,324,0.0
2026-03,affiliate,447,1721.23
2026-03,app_store_organic,521,49.24
2026-03,jobboard_a,392,1946.8
2026-03,paid_social,1063,2904.76
2026-03,search_ads,452,2221.35
2026-03,worker_referral,353,0.0
2026-04,affiliate,451,1720.7
2026-04,app_store_organic,502,49.64
2026-04,jobboard_a,357,1844.58
2026-04,paid_social,1020,2741.75
2026-04,search_ads,421,2123.5
2026-04,worker_referral,333,0.0
2026-05,affiliate,478,1910.91
2026-05,app_store_organic,572,57.89
2026-05,jobboard_a,382,2010.9
2026-05,paid_social,1199,2966.22
2026-05,search_ads,513,2489.53
2026-05,worker_referral,355,0.0
2026-06,affiliate,422,1669.73
2026-06,app_store_organic,471,48.09
2026-06,jobboard_a,362,1744.37
2026-06,paid_social,1003,2681.71
2026-06,search_ads,412,2052.81
2026-06,worker_referral,339,0.0
2026-07,affiliate,439,1759.97
2026-07,app_store_organic,483,50.34
2026-07,jobboard_a,419,2208.85
2026-07,paid_social,977,2589.28
2026-07,search_ads,433,1967.47
2026-07,worker_referral,302,0.0
2026-08,affiliate,460,1733.85
2026-08,app_store_organic,523,50.92
2026-08,jobboard_a,403,2120.02
2026-08,paid_social,1267,3392.66
2026-08,search_ads,493,2483.7
2026-08,worker_referral,330,0.0
