application_id,location_id,region,hiring_manager_id,role,source,commute_band_km,availability_match,applied_at,screened_at,interview_scheduled_at,interview_completed_at,offer_at,onboarding_started_at,scheduled_first_shift_at,first_shift_at,stage_reached,exit_reason,separation_at,tenure_days,separation_reason
APP-001187,LOC-04,Midwest,MGR-004,Delivery Driver,jobboard_c,0-5,full,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000302,LOC-22,South,MGR-022,Package Handler,jobboard_a,11-20,full,2025-09-01,2025-09-02,2025-09-04,2025-09-09,2025-09-12,,,,offer_extended,failed_drug_screen,,,
APP-000778,LOC-38,West,MGR-038,Delivery Driver,jobboard_a,21-40,full,2025-09-01,2025-09-02,2025-09-04,2025-09-05,2025-09-07,2025-09-09,2025-09-25,,onboarding_started,no_show_first_shift,,,
APP-000786,LOC-42,West,MGR-042,Warehouse Associate,staffing_agency,11-20,partial,2025-09-01,2025-09-04,2025-09-07,,,,,,interview_scheduled,interview_no_show,,,
APP-000793,LOC-17,Northeast,MGR-017,Delivery Driver,jobboard_c,11-20,limited,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000265,LOC-40,West,MGR-040,Package Handler,career_site,11-20,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-001089,LOC-07,Midwest,MGR-007,Team Lead,jobboard_c,6-10,full,2025-09-01,,,,,,,,applied,withdrew,,,
APP-001139,LOC-08,Midwest,MGR-008,Team Lead,jobboard_a,40+,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000042,LOC-18,Northeast,MGR-018,Dispatcher,jobboard_b,11-20,limited,2025-09-01,2025-09-01,,,,,,,screened,unresponsive,,,
APP-000822,LOC-04,Midwest,MGR-004,Delivery Driver,staffing_agency,21-40,partial,2025-09-01,2025-09-02,2025-09-02,2025-09-06,,,,,interview_completed,not_qualified,,,
APP-000838,LOC-36,West,MGR-036,Warehouse Associate,jobboard_b,40+,partial,2025-09-01,,,,,,,,applied,withdrew,,,
APP-000854,LOC-30,South,MGR-030,Warehouse Associate,staffing_agency,40+,limited,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000199,LOC-17,Northeast,MGR-017,Warehouse Associate,jobboard_b,0-5,full,2025-09-01,,,,,,,,applied,withdrew,,,
APP-000051,LOC-11,Midwest,MGR-011,Team Lead,staffing_agency,40+,full,2025-09-01,2025-09-03,2025-09-04,,,,,,interview_scheduled,interview_no_show,,,
APP-000886,LOC-13,Northeast,MGR-013,Delivery Driver,jobboard_b,21-40,partial,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000895,LOC-19,Northeast,MGR-019,Package Handler,jobboard_a,0-5,partial,2025-09-01,2025-09-03,,,,,,,screened,no_interview_slot,,,
APP-000935,LOC-21,Northeast,MGR-021,Delivery Driver,staffing_agency,0-5,partial,2025-09-01,2025-09-01,2025-09-04,2025-09-09,2025-09-11,,,,offer_extended,unresponsive_after_offer,,,
APP-000939,LOC-34,West,MGR-034,Delivery Driver,referral,0-5,full,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000949,LOC-19,Northeast,MGR-019,Warehouse Associate,jobboard_a,0-5,full,2025-09-01,2025-09-03,2025-09-15,2025-09-21,2025-09-23,,,,offer_extended,unresponsive_after_offer,,,
APP-000960,LOC-22,South,MGR-022,Package Handler,jobboard_a,6-10,partial,2025-09-01,2025-09-02,2025-09-05,,,,,,interview_scheduled,interview_no_show,,,
APP-000980,LOC-17,Northeast,MGR-017,Delivery Driver,jobboard_b,21-40,full,2025-09-01,2025-09-04,2025-09-07,2025-09-09,,,,,interview_completed,not_qualified,,,
APP-001002,LOC-03,Midwest,MGR-003,Package Handler,staffing_agency,6-10,limited,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-001291,LOC-28,South,MGR-028,Delivery Driver,staffing_agency,11-20,full,2025-09-01,,,,,,,,applied,withdrew,,,
APP-001018,LOC-40,West,MGR-040,Warehouse Associate,jobboard_a,40+,full,2025-09-01,2025-09-02,2025-09-14,2025-09-20,2025-09-22,2025-09-23,2025-09-29,2025-09-29,started,,,,
APP-001207,LOC-33,South,MGR-033,Package Handler,jobboard_b,0-5,partial,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000094,LOC-42,West,MGR-042,Warehouse Associate,jobboard_c,6-10,full,2025-09-01,2025-09-04,2025-09-05,,,,,,interview_scheduled,interview_no_show,,,
APP-000734,LOC-02,Midwest,MGR-002,Warehouse Associate,career_site,11-20,full,2025-09-01,2025-09-03,,,,,,,screened,withdrew,,,
APP-000731,LOC-04,Midwest,MGR-004,Delivery Driver,staffing_agency,21-40,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000810,LOC-20,Northeast,MGR-020,Package Handler,jobboard_c,0-5,partial,2025-09-01,2025-09-03,,,,,,,screened,unresponsive,,,
APP-000716,LOC-38,West,MGR-038,Delivery Driver,jobboard_c,40+,partial,2025-09-01,2025-09-01,2025-09-03,2025-09-09,2025-09-09,2025-09-11,2025-09-20,2025-09-20,started,,,,
APP-000373,LOC-17,Northeast,MGR-017,Delivery Driver,referral,0-5,partial,2025-09-01,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-04,2025-09-13,2025-09-13,started,,2025-09-19,6,involuntary
APP-000531,LOC-07,Midwest,MGR-007,Warehouse Associate,jobboard_b,6-10,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000629,LOC-24,South,MGR-024,Package Handler,jobboard_b,0-5,partial,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-001304,LOC-26,South,MGR-026,Warehouse Associate,staffing_agency,6-10,partial,2025-09-01,,,,,,,,applied,incomplete_application,,,
APP-000653,LOC-04,Midwest,MGR-004,Package Handler,jobboard_a,0-5,full,2025-09-01,2025-09-01,,,,,,,screened,unresponsive,,,
APP-000665,LOC-30,South,MGR-030,Dispatcher,career_site,6-10,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000677,LOC-11,Midwest,MGR-011,Warehouse Associate,staffing_agency,6-10,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000352,LOC-25,South,MGR-025,Dispatcher,jobboard_a,11-20,limited,2025-09-01,,,,,,,,applied,failed_knockout,,,
APP-000331,LOC-31,South,MGR-031,Warehouse Associate,jobboard_c,6-10,partial,2025-09-01,2025-09-01,2025-09-07,2025-09-09,2025-09-10,2025-09-12,2025-09-21,,onboarding_started,no_show_first_shift,,,
APP-000324,LOC-32,South,MGR-032,Delivery Driver,staffing_agency,11-20,partial,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000329,LOC-41,West,MGR-041,Warehouse Associate,referral,40+,full,2025-09-01,2025-09-01,2025-09-04,2025-09-06,2025-09-09,2025-09-11,2025-09-14,,onboarding_started,no_show_first_shift,,,
APP-000386,LOC-03,Midwest,MGR-003,Package Handler,jobboard_a,21-40,full,2025-09-01,2025-09-02,2025-09-12,,,,,,interview_scheduled,interview_no_show,,,
APP-000678,LOC-01,Midwest,MGR-001,Delivery Driver,jobboard_a,6-10,full,2025-09-01,,,,,,,,applied,availability_mismatch,,,
APP-000417,LOC-35,West,MGR-035,Dispatcher,referral,6-10,full,2025-09-02,2025-09-02,2025-09-04,2025-09-06,2025-09-08,2025-09-09,2025-09-21,,onboarding_started,no_show_first_shift,,,
APP-001023,LOC-21,Northeast,MGR-021,Dispatcher,staffing_agency,0-5,partial,2025-09-02,,,,,,,,applied,availability_mismatch,,,
APP-000499,LOC-26,South,MGR-026,Delivery Driver,referral,0-5,partial,2025-09-02,2025-09-03,2025-09-06,2025-09-07,2025-09-10,2025-09-11,2025-09-24,2025-09-24,started,,,,
APP-001203,LOC-34,West,MGR-034,Warehouse Associate,referral,40+,full,2025-09-02,2025-09-03,2025-09-03,2025-09-08,,,,,interview_completed,not_qualified,,,
APP-001013,LOC-39,West,MGR-039,Package Handler,staffing_agency,0-5,full,2025-09-02,2025-09-04,2025-09-05,2025-09-08,,,,,interview_completed,candidate_declined,,,
APP-001043,LOC-28,South,MGR-028,Delivery Driver,jobboard_a,11-20,full,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000515,LOC-39,West,MGR-039,Warehouse Associate,referral,0-5,partial,2025-09-02,2025-09-02,2025-09-05,2025-09-06,2025-09-06,2025-09-07,2025-09-16,,onboarding_started,no_show_first_shift,,,
APP-001004,LOC-30,South,MGR-030,Warehouse Associate,jobboard_a,6-10,partial,2025-09-02,2025-09-03,,,,,,,screened,unresponsive,,,
APP-000516,LOC-42,West,MGR-042,Package Handler,jobboard_b,6-10,partial,2025-09-02,2025-09-05,2025-09-08,2025-09-14,2025-09-16,2025-09-17,2025-10-03,2025-10-03,started,,,,
APP-000475,LOC-04,Midwest,MGR-004,Delivery Driver,career_site,21-40,full,2025-09-02,,,,,,,,applied,withdrew,,,
APP-000484,LOC-22,South,MGR-022,Package Handler,career_site,21-40,partial,2025-09-02,2025-09-04,,,,,,,screened,unresponsive,,,
APP-000114,LOC-11,Midwest,MGR-011,Warehouse Associate,jobboard_c,6-10,full,2025-09-02,,,,,,,,applied,incomplete_application,,,
APP-000152,LOC-40,West,MGR-040,Package Handler,jobboard_a,0-5,partial,2025-09-02,2025-09-03,,,,,,,screened,no_interview_slot,,,
APP-000105,LOC-39,West,MGR-039,Warehouse Associate,jobboard_a,0-5,full,2025-09-02,2025-09-03,2025-09-03,2025-09-05,2025-09-07,2025-09-08,2025-09-11,2025-09-11,started,,,,
APP-000190,LOC-17,Northeast,MGR-017,Delivery Driver,staffing_agency,0-5,partial,2025-09-02,2025-09-05,,,,,,,screened,withdrew,,,
APP-000941,LOC-16,Northeast,MGR-016,Package Handler,jobboard_a,6-10,partial,2025-09-02,2025-09-02,,,,,,,screened,unresponsive,,,
