month,source,applications,spend_usd
2025-09,career_site,136,56.97
2025-09,jobboard_a,229,1306.16
2025-09,jobboard_b,159,1030.68
2025-09,jobboard_c,416,793.48
2025-09,referral,162,0.0
2025-09,staffing_agency,192,2266.51
2025-10,career_site,380,197.77
2025-10,jobboard_a,601,4574.72
2025-10,jobboard_b,448,3793.26
2025-10,jobboard_c,992,2538.0
2025-10,referral,471,0.0
2025-10,staffing_agency,560,8565.12
2025-11,career_site,341,182.98
2025-11,jobboard_a,535,3868.68
2025-11,jobboard_b,398,3333.06
2025-11,jobboard_c,972,2384.21
2025-11,referral,369,0.0
2025-11,staffing_agency,513,7926.9
2025-12,career_site,346,172.2
2025-12,jobboard_a,616,4663.17
2025-12,jobboard_b,475,4015.73
2025-12,jobboard_c,950,2289.96
2025-12,referral,368,0.0
2025-12,staffing_agency,541,9052.97
2026-01,career_site,145,61.43
2026-01,jobboard_a,224,1283.87
2026-01,jobboard_b,167,1110.28
2026-01,jobboard_c,478,899.31
2026-01,referral,148,0.0
2026-01,staffing_agency,207,2436.61
2026-02,career_site,127,48.06
2026-02,jobboard_a,253,1427.93
2026-02,jobboard_b,147,950.61
2026-02,jobboard_c,398,717.28
2026-02,referral,168,0.0
2026-02,staffing_agency,210,2668.94
2026-03,career_site,118,49.47
2026-03,jobboard_a,234,1396.74
2026-03,jobboard_b,163,1031.85
2026-03,jobboard_c,353,652.3
2026-03,referral,129,0.0
2026-03,staffing_agency,215,2680.3
2026-04,career_site,152,64.42
2026-04,jobboard_a,249,1520.93
2026-04,jobboard_b,168,1110.68
2026-04,jobboard_c,358,668.35
2026-04,referral,154,0.0
2026-04,staffing_agency,188,2416.61
2026-05,career_site,153,60.94
2026-05,jobboard_a,221,1217.83
2026-05,jobboard_b,165,1012.19
2026-05,jobboard_c,433,785.63
2026-05,referral,154,0.0
2026-05,staffing_agency,197,2526.32
2026-06,career_site,134,50.39
2026-06,jobboard_a,211,1212.5
2026-06,jobboard_b,152,1007.24
2026-06,jobboard_c,341,622.89
2026-06,referral,146,0.0
2026-06,staffing_agency,181,2319.35
2026-07,career_site,162,65.74
2026-07,jobboard_a,221,1258.63
2026-07,jobboard_b,158,958.5
2026-07,jobboard_c,375,693.4
2026-07,referral,159,0.0
2026-07,staffing_agency,236,2916.62
2026-08,career_site,140,56.55
2026-08,jobboard_a,265,1457.0
2026-08,jobboard_b,151,943.73
2026-08,jobboard_c,416,781.02
2026-08,referral,148,0.0
2026-08,staffing_agency,231,2947.85
