month,source,applications,spend_usd
2025-09,career_site,162,38.59
2025-09,jobboard_a,299,1118.11
2025-09,jobboard_c,500,535.2
2025-09,referral,173,0.0
2025-09,social,209,601.29
2025-09,text_to_apply,297,613.32
2025-10,career_site,169,43.15
2025-10,jobboard_a,299,1090.89
2025-10,jobboard_c,530,598.29
2025-10,referral,193,0.0
2025-10,social,193,518.9
2025-10,text_to_apply,300,634.95
2025-11,career_site,191,47.03
2025-11,jobboard_a,259,959.36
2025-11,jobboard_c,588,645.0
2025-11,referral,203,0.0
2025-11,social,202,551.74
2025-11,text_to_apply,314,687.53
2025-12,career_site,146,37.12
2025-12,jobboard_a,249,859.66
2025-12,jobboard_c,505,587.73
2025-12,referral,177,0.0
2025-12,social,181,517.51
2025-12,text_to_apply,254,538.73
2026-01,career_site,155,40.23
2026-01,jobboard_a,243,847.92
2026-01,jobboard_c,529,579.18
2026-01,referral,160,0.0
2026-01,social,205,601.85
2026-01,text_to_apply,272,566.3
2026-02,career_site,160,39.33
2026-02,jobboard_a,244,862.66
2026-02,jobboard_c,585,621.02
2026-02,referral,181,0.0
2026-02,social,206,600.24
2026-02,text_to_apply,290,591.9
2026-03,career_site,161,41.22
2026-03,jobboard_a,241,878.94
2026-03,jobboard_c,527,558.78
2026-03,referral,165,0.0
2026-03,social,186,534.05
2026-03,text_to_apply,267,530.9
2026-04,career_site,192,50.34
2026-04,jobboard_a,268,1005.88
2026-04,jobboard_c,509,591.31
2026-04,referral,180,0.0
2026-04,social,226,639.33
2026-04,text_to_apply,282,606.37
2026-05,career_site,315,101.02
2026-05,jobboard_a,536,2440.98
2026-05,jobboard_c,1119,1529.77
2026-05,referral,339,0.0
2026-05,social,424,1570.88
2026-05,text_to_apply,647,1752.19
2026-06,career_site,333,103.06
2026-06,jobboard_a,506,2252.13
2026-06,jobboard_c,1008,1343.39
2026-06,referral,333,0.0
2026-06,social,396,1338.44
2026-06,text_to_apply,594,1608.08
2026-07,career_site,378,114.19
2026-07,jobboard_a,538,2428.16
2026-07,jobboard_c,1125,1613.12
2026-07,referral,416,0.0
2026-07,social,432,1636.7
2026-07,text_to_apply,609,1610.71
2026-08,career_site,153,38.6
2026-08,jobboard_a,230,837.41
2026-08,jobboard_c,586,645.28
2026-08,referral,153,0.0
2026-08,social,185,519.75
2026-08,text_to_apply,260,544.84
