month,source,applications,spend_usd
2025-09,career_site,158,45.2
2025-09,jobboard_a,238,938.03
2025-09,jobboard_b,169,885.49
2025-09,jobboard_c,345,479.64
2025-09,referral,116,0.0
2025-09,social,139,462.42
2025-10,career_site,408,148.35
2025-10,jobboard_a,532,2631.94
2025-10,jobboard_b,383,2775.3
2025-10,jobboard_c,792,1296.77
2025-10,referral,256,0.0
2025-10,social,341,1355.07
2025-11,career_site,363,143.07
2025-11,jobboard_a,472,2385.61
2025-11,jobboard_b,360,2558.9
2025-11,jobboard_c,851,1407.29
2025-11,referral,197,0.0
2025-11,social,298,1230.98
2025-12,career_site,391,150.11
2025-12,jobboard_a,567,2911.79
2025-12,jobboard_b,381,2717.95
2025-12,jobboard_c,802,1370.43
2025-12,referral,252,0.0
2025-12,social,331,1397.46
2026-01,career_site,162,49.16
2026-01,jobboard_a,213,890.4
2026-01,jobboard_b,160,849.31
2026-01,jobboard_c,353,502.59
2026-01,referral,97,0.0
2026-01,social,153,512.98
2026-02,career_site,167,47.86
2026-02,jobboard_a,256,1000.82
2026-02,jobboard_b,168,921.52
2026-02,jobboard_c,356,480.43
2026-02,referral,92,0.0
2026-02,social,137,457.61
2026-03,career_site,153,45.06
2026-03,jobboard_a,241,1011.63
2026-03,jobboard_b,162,926.17
2026-03,jobboard_c,364,485.53
2026-03,referral,102,0.0
2026-03,social,132,440.04
2026-04,career_site,158,47.68
2026-04,jobboard_a,207,839.92
2026-04,jobboard_b,153,812.14
2026-04,jobboard_c,316,408.45
2026-04,referral,95,0.0
2026-04,social,127,400.09
2026-05,career_site,127,37.59
2026-05,jobboard_a,236,941.78
2026-05,jobboard_b,171,935.61
2026-05,jobboard_c,376,481.21
2026-05,referral,102,0.0
2026-05,social,139,449.07
2026-06,career_site,164,51.36
2026-06,jobboard_a,221,855.08
2026-06,jobboard_b,157,874.1
2026-06,jobboard_c,350,486.57
2026-06,referral,114,0.0
2026-06,social,118,398.25
2026-07,career_site,169,52.09
2026-07,jobboard_a,217,872.68
2026-07,jobboard_b,143,779.05
2026-07,jobboard_c,328,436.31
2026-07,referral,94,0.0
2026-07,social,118,398.23
2026-08,career_site,158,44.78
2026-08,jobboard_a,234,1014.94
2026-08,jobboard_b,157,849.22
2026-08,jobboard_c,377,537.15
2026-08,referral,106,0.0
2026-08,social,142,473.89
